date,reg_name,positives,delta_positives,removed,delta_removed
2020-02-24,ABRUZZO,0,0,0,0
2020-02-24,BASILICATA,0,0,0,0
2020-02-24,CALABRIA,0,0,0,0
2020-02-24,CAMPANIA,0,0,0,0
2020-02-24,EMILIA ROMAGNA,18,18,0,0
2020-02-24,FRIULI VENEZIA GIULIA,0,0,0,0
2020-02-24,LAZIO,2,2,1,1
2020-02-24,LIGURIA,0,0,0,0
2020-02-24,LOMBARDIA,166,166,6,6
2020-02-24,MARCHE,0,0,0,0
2020-02-24,MOLISE,0,0,0,0
2020-02-24,PIEMONTE,3,3,0,0
2020-02-24,PUGLIA,0,0,0,0
2020-02-24,SARDEGNA,0,0,0,0
2020-02-24,SICILIA,0,0,0,0
2020-02-24,TOSCANA,0,0,0,0
2020-02-24,TRENTINO ALTO ADIGE,0,0,0,0
2020-02-24,UMBRIA,0,0,0,0
2020-02-24,VALLE D'AOSTA,0,0,0,0
2020-02-24,VENETO,32,32,1,1
2020-02-25,ABRUZZO,0,0,0,0
2020-02-25,BASILICATA,0,0,0,0
2020-02-25,CALABRIA,0,0,0,0
2020-02-25,CAMPANIA,0,0,0,0
2020-02-25,EMILIA ROMAGNA,26,8,0,0
2020-02-25,FRIULI VENEZIA GIULIA,0,0,0,0
2020-02-25,LAZIO,2,0,1,0
2020-02-25,LIGURIA,1,1,0,0
2020-02-25,LOMBARDIA,231,65,9,3
2020-02-25,MARCHE,0,0,0,0
2020-02-25,MOLISE,0,0,0,0
2020-02-25,PIEMONTE,3,0,0,0
2020-02-25,PUGLIA,0,0,0,0
2020-02-25,SARDEGNA,0,0,0,0
2020-02-25,SICILIA,3,3,0,0
2020-02-25,TOSCANA,2,2,0,0
2020-02-25,TRENTINO ALTO ADIGE,1,1,0,0
2020-02-25,UMBRIA,0,0,0,0
2020-02-25,VALLE D'AOSTA,0,0,0,0
2020-02-25,VENETO,42,10,1,0
2020-02-26,ABRUZZO,0,0,0,0
2020-02-26,BASILICATA,0,0,0,0
2020-02-26,CALABRIA,0,0,0,0
2020-02-26,CAMPANIA,0,0,0,0
2020-02-26,EMILIA ROMAGNA,46,20,1,1
2020-02-26,FRIULI VENEZIA GIULIA,0,0,0,0
2020-02-26,LAZIO,0,-2,3,2
2020-02-26,LIGURIA,11,10,0,0
2020-02-26,LOMBARDIA,249,18,9,0
2020-02-26,MARCHE,1,1,0,0
2020-02-26,MOLISE,0,0,0,0
2020-02-26,PIEMONTE,3,0,0,0
2020-02-26,PUGLIA,0,0,0,0
2020-02-26,SARDEGNA,0,0,0,0
2020-02-26,SICILIA,3,0,0,0
2020-02-26,TOSCANA,2,0,0,0
